"date"	"hour"	"precip"	"drivers_onduty"	"drivers_occupied"	"t_onduty"	"t_occupied"	"n_pass"	"n_trip"	"n_mile"	"earnings"
"1"	"2010-01-01"	9	NA	2281	2281	1003.25277778	551.052777778	7162	3462	11918.8810418	40336.8984339
"2"	"2010-01-01"	10	NA	2711	2711	1443.565	766.148333333	10413	4975	15682.7336794	53956.32535
"3"	"2010-01-01"	22	0	4110	4110	2787.61944444	1574.16083333	21257	9487	25809.4697309	100224.591635
"4"	"2010-01-02"	5	1	1039	1039	493.984722222	280.568055556	2678	1265	6344.27178765	20984.2036535
"5"	"2010-01-02"	17	NA	4859	4859	3599.96277778	2357.36138889	27887	12935	32780.4795897	132911.866884
"6"	"2010-01-03"	1	NA	4639	4639	3719.74694444	1918.24388889	24000	10861	32669.0288856	125943.534224
"7"	"2010-01-03"	13	0	4628	4628	3400.60805556	1937.31861111	25337	11859	30434.1741488	120964.369481
"8"	"2010-01-04"	8	NA	4771	4771	3987.12472222	2376.77277778	25577	13422	33343.5169238	137641.292777
"9"	"2010-01-04"	21	NA	4805	4805	3190.46194444	1722.67166667	20494	10156	31032.4844541	120186.277519
"10"	"2010-01-05"	4	NA	767	767	384.424722222	190.674722222	2106	985	4676.15829911	15511.7050549
"11"	"2010-01-05"	16	NA	5010	5010	3394.19666667	2023.9325	22339	10844	28218.1549478	125444.028063
"12"	"2010-01-06"	0	NA	3467	3467	1767.88027778	972.235277778	10870	5256	19394.2457883	69940.3695949
"13"	"2010-01-06"	12	NA	5121	5121	3799.12361111	2067.39638889	22549	11590	26323.9899439	115635.218158
"14"	"2010-01-07"	7	NA	4287	4287	3221.00861111	1735.54388889	21574	11185	26730.8445557	107022.999905
"15"	"2010-01-07"	19	NA	6118	6118	5510.64444444	3325.32194444	36662	17890	42686.3424496	201373.742874
"16"	"2010-01-07"	20	NA	6009	6009	4959.29055556	2839.88277778	32222	15676	41602.9442161	176527.456523
"17"	"2010-01-08"	3	2	1574	1574	931.015833333	442.804722222	5072	2322	8341.6254256	29925.7189873
"18"	"2010-01-08"	15	NA	5248	5248	4292.73138889	2426.00805556	25155	12414	32254.6463244	136243.03126
"19"	"2010-01-09"	11	NA	4509	4509	3304.09583333	1692.78222222	22996	11506	25013.1994343	104326.477573
"20"	"2010-01-09"	23	NA	5831	5831	5726.78472222	3550.52722222	40748	18706	47949.6356143	205042.363608
"21"	"2010-01-10"	11	NA	4271	4271	3175.58666667	1632.97138889	22568	10852	27006.5610112	106892.976531
"22"	"2010-01-10"	23	NA	3159	3159	2178.95	1086.53444444	12844	6105	21868.3361279	79072.3769242
"23"	"2010-01-11"	6	NA	2532	2532	1405.21527778	774.655833333	10370	5410	16014.0135532	57607.2584235
"24"	"2010-01-11"	18	NA	5783	5783	5291.82638889	3027.86027778	33211	16424	39072.7659009	184997.674122
